,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
10,48475.0,2.203656497486684,-0.05219363489506349,-0.0027241755235591896,-0.5002850279598824,0.104387269790127,2.630747842049001,2.942266045547928,0.022094838143345258,0.06500889205104199,0.17023499398394093,-0.9428089871756159,2.203656497486684,2.942266045547928,0.033964445130430725,-2.2171697853799422e-07,3.474627608189655e-05,-0.008136381107099563,0.04782378625569372,0.5865204496394887,0.5937168232474302,0.5989591068018456,0.5181357244892075,0.5268082309038649,0.5108396834265239,0.5298355147600324,0.5301726319391823,0.5221053331952511,0.4037309395304989,0.4136383011227532,0.413313203990576,2.928391535918528,2.960505418842915,2.928464616402651,-0.030719380412139573,9.700181399239229e-05,7.453246558783658e-05,7.665377126449849e-05,8.251927637409078e-05,8.207517026424712e-05,6.457931145880816e-05,6.20925991518993e-05,6.78688263703997e-05,6.315224726578476e-05,4.056697308566968e-05,4.280090805380727e-05,0.02167096600107862,90.0,299.31036376953125,0.0027765586013599373,6.78688263703997e-05,3.2581729617577506e-09,3.298149453500731e-09,3.3272708022028304e-09,3.5282094507118985e-09,3.58726428450804e-09,3.4785275627171653e-09,2.209672374669651e-09,2.2110783176407094e-09,2.177433749324549e-09,1.8596564072240167e-09,1.9052914741949715e-09,1.9037940190692223e-09,4.8191933485747525e-09,4.872042501117317e-09,4.819313615615097e-09,1.0376415793277833e-05,11.361870765686035,6.315224726578476e-05
11,38473.0,0.7408344824470479,-0.04362620584726565,-0.0019032458366279954,-0.2664924512183822,0.0872524116945313,0.8993040107900026,1.0354935596465227,0.022084931829391512,0.02286880467456741,0.1257645915671727,-0.4556186721676857,0.7408344824470479,1.0354935596465227,0.035195003401038184,-3.940414554881955e-07,5.304884659215263e-05,-0.013174164664994154,0.0646573503731154,0.2670761901423984,0.26720460018392295,0.272705871565545,0.25761032528892014,0.2532911231679602,0.25488690134148123,0.24676700757714842,0.24610102370182796,0.2503311338297455,0.22305860938023936,0.22433093285527295,0.22081564793074576,0.9846971023523398,0.9772277786849628,0.9832211126046931,-0.05624216817178132,0.00012945153498311325,0.00010770144068655576,0.00011076964081035368,0.00011824097437816319,0.00011843104659465314,9.33887820798942e-05,9.175916753854967e-05,9.894394838875353e-05,9.504258804173093e-05,7.4768458877761e-05,7.817911713484318e-05,0.02162053552248622,92.05671765275719,299.2465515136719,0.0032754540512196176,9.894394838875353e-05,3.097977062231836e-09,3.099466567391361e-09,3.1632791167028168e-09,3.6016314155619794e-09,3.541244961596812e-09,3.5635554213797244e-09,2.1521697255641466e-09,2.146361370759137e-09,2.1832541265715612e-09,2.183722578034785e-09,2.1961785038863548e-09,2.161764198698835e-09,5.504774310793472e-09,5.463018383062037e-09,5.4965230521816315e-09,1.0323547414239322e-05,11.763483047485352,9.504258804173093e-05
12,30379.0,0.3334973033060399,-0.034953414148032054,-0.0012217411606038474,-0.1789278099381212,0.06990682829606411,0.41116223832766813,0.489185811199736,0.021635412913742658,0.01058373701685045,0.09506468604644978,-0.285957641503652,0.3334973033060399,0.489185811199736,0.035204447563506124,-6.115109919555906e-07,6.461789609125753e-05,-0.019137672539704744,0.07435342569938326,0.1499747573223398,0.147167232025794,0.14755193933796504,0.15024009639933442,0.1506242986232206,0.1520830291158679,0.13460059984442094,0.13975448784968306,0.13561399020445974,0.13387622903481275,0.13146687851236274,0.13343462788472538,0.4404543941323348,0.45129269051549253,0.44148572373120804,-0.08556687046726692,0.00016651851225200014,0.00014353785330666795,0.00014683736580966175,0.00015523677343243052,0.0001555933846954829,0.00012533815745707221,0.00012414462911018937,0.00013222183167766708,0.00012898147978309733,0.00011470272871051814,0.00011885719341647704,0.021605163761512114,93.69042655519807,299.23919677734375,0.0035816665301207696,0.00013222183167766708,3.0899472219838604e-09,3.032103454501938e-09,3.0400296236236184e-09,3.6205543263300378e-09,3.629813006650499e-09,3.6649661589891794e-09,2.1145288133513086e-09,2.195494609198497e-09,2.130448824985368e-09,2.340506271617632e-09,2.298384529401147e-09,2.332785929710897e-09,5.794933362940255e-09,5.937529750091578e-09,5.808502273547837e-09,1.0099045134791908e-05,11.765482902526855,0.00012898147978309733
13,24371.0,0.18181662196169357,-0.02956734514775264,-0.0008742278990863315,-0.1397607346157318,0.05913469029550528,0.22126044487150212,0.2741807052797824,0.02243010876919302,0.006149903041839572,0.0750831705732667,-0.20299618743892953,0.18181662196169357,0.2741807052797824,0.03554893354757398,-8.970250002544468e-07,7.490693326254644e-05,-0.025640070769396756,0.08066833634862068,0.09368255202213588,0.08835892891974614,0.09094019734415974,0.10489086903726554,0.10031993221192809,0.10247271927833611,0.08465085076027463,0.07838349381737482,0.08327099410478075,0.08934042066109286,0.08985917138310785,0.08947356626291275,0.23673918553528409,0.2355272369964511,0.23494866259362696,-0.11756304908768235,0.00020687274176050727,0.000183179632103146,0.00018642902692175446,0.00019535588316546264,0.0001958774101035312,0.00016128438178648444,0.0001604257450479422,0.00016892400902187066,0.00016658326345285303,0.00015806559423681214,0.00016288156983018914,0.021549581719805505,94.98812766372727,299.20941162109375,0.0037894708603707747,0.00016892400902187066,3.14349719973739e-09,2.9648642104176158e-09,3.051478098369744e-09,4.003046848722593e-09,3.828601976425116e-09,3.910760772145397e-09,2.2019931060990292e-09,2.038962532185368e-09,2.166099375374373e-09,2.549357566117283e-09,2.564160284397673e-09,2.5531569185815207e-09,5.914865123776569e-09,5.884584914237339e-09,5.870129387793601e-09,1.0416194224381353e-05,11.875882148742676,0.00016658326345285303
14,19184.0,0.1107681239679235,-0.024139004375865587,-0.0005826915322580579,-0.10726857488953842,0.048278008751731175,0.13365992476504468,0.16778085242641816,0.02179546783611574,0.0036568621725760783,0.05963436372078742,-0.1503621682401148,0.1107681239679235,0.16778085242641816,0.033715076060832724,-1.160025504119653e-06,7.938105506010687e-05,-0.031874763621419576,0.08302620653240153,0.05921003234794503,0.061927918075661906,0.06022809861499914,0.07537144267382118,0.07666964976286177,0.07480315670339717,0.05627972372822608,0.05395965837905048,0.05489100347258493,0.06582587130216179,0.06312286893512932,0.06500902253853658,0.14093487728221663,0.14211481941103324,0.14035416099686307,-0.15226138906486017,0.00024952734209558936,0.00022591437826171282,0.00022901739133785235,0.0002374078137231807,0.00023794738151558398,0.0002009103002599283,0.00020022573230915334,0.000208181696110243,0.0002064569939592739,0.0002063230425509335,0.00021142667190932748,0.021597711016640236,96.01892829446503,299.29180908203125,0.003889752526315359,0.000208181696110243,3.0219205572933073e-09,3.160634123681804e-09,3.073879917204119e-09,4.2481206778277486e-09,4.3212908359594226e-09,4.216090676858746e-09,2.271728163984089e-09,2.1780788450667246e-09,2.2156725420363046e-09,2.852868155941469e-09,2.735721064291987e-09,2.8174662420758792e-09,5.999484680273587e-09,6.04971387025095e-09,5.974764053805893e-09,1.0166738363004282e-05,11.275654792785645,0.0002064569939592739
15,15430.0,0.07924745322710919,-0.020025405595617055,-0.00040101686926897096,-0.0867178190710359,0.04005081119123411,0.09394254654875164,0.11679994235344007,0.021678572881516363,0.0025320560628659615,0.04788902846291601,-0.11804627546736518,0.07924745322710919,0.11679994235344007,0.03260475787811829,-1.4307470400776243e-06,8.1340825510665e-05,-0.037996404366856834,0.08217792536120874,0.04338444319759493,0.0470115128522328,0.04428701945418107,0.06112502200499287,0.05669673737655658,0.05853697147188637,0.03934734538001335,0.03698991061363012,0.038977064627396904,0.049188917011706974,0.049689174525536416,0.04951181228826009,0.09700437080726429,0.09860849492257946,0.09782113440838544,-0.18757331999782043,0.0002946745057594878,0.00027020435545330645,0.000273306349443048,0.00028092854021886693,0.0002813763397025791,0.00024265545048082396,0.00024221534835456383,0.00024956409335422065,0.0002482552440104047,0.0002559200616066193,0.00026114969007147014,0.02165490033217871,96.83772233983163,299.36737060546875,0.004109460015578379,0.00024956409335422065,3.1675152785692566e-09,3.4323290620532234e-09,3.2334127264122413e-09,4.824038369521029e-09,4.474554406030727e-09,4.6197872352973834e-09,2.316837313499045e-09,2.1780276230829054e-09,2.295034565287013e-09,3.0635957719322187e-09,3.0947529288153524e-09,3.0837064119731366e-09,6.353308825837777e-09,6.458371059784125e-09,6.406802821545829e-09,1.0165835252648177e-05,10.915336608886719,0.0002482552440104047
16,12334.0,0.056385805160635474,-0.01648877411536146,-0.00027187967182741417,-0.07050307399881302,0.03297754823072292,0.06862256728873282,0.08373055323626573,0.020936402895192763,0.0017530165971918457,0.03961223192383751,-0.09901117819326577,0.056385805160635474,0.08373055323626573,0.032054198193798004,-1.6634628235454362e-06,8.009232328216156e-05,-0.0452774530740092,0.08104688235895689,0.03114226400283943,0.031330829763430726,0.031238143281906335,0.04378896635721797,0.043971494217495,0.04433348875329098,0.026824088641432688,0.028540754039007424,0.027188217591951756,0.039201205255730454,0.037635526303090874,0.0375737951614966,0.07065647629053141,0.07099255218199814,0.07094279895809667,-0.22350681010673004,0.00034004725533597166,0.00031677618909999516,0.0003201338498154434,0.0003268139897770322,0.0003273548177056522,0.0002868117382340752,0.0002868242045225305,0.00029351935058282883,0.00029249854502272945,0.00030714546311395895,0.0003122948218894918,0.021732603810722024,97.48811356849042,299.4598083496094,0.004182784417439307,0.00029351935058282883,3.1250375612010337e-09,3.143959598614579e-09,3.1346587739811203e-09,4.676984940911827e-09,4.696480264159433e-09,4.735143953518958e-09,2.206575636548275e-09,2.3477902027924e-09,2.236529238384209e-09,3.377325316460518e-09,3.24243642389449e-09,3.237118063248171e-09,6.665614366355672e-09,6.697319206562182e-09,6.692625570232987e-09,9.888390137737264e-06,10.744281768798828,0.00029249854502272945
17,9605.0,0.04703252327437071,-0.013280621854646605,-0.00017637491684611701,-0.05502280166410857,0.026561243709293213,0.0536853598301074,0.06196081617371783,0.01917441417605008,0.001188062352000968,0.0305550228580348,-0.07310114445948455,0.04703252327437071,0.06196081617371783,0.027617828702102644,-1.7764323463663774e-06,7.546079862775013e-05,-0.04521686042181293,0.07275014739901284,0.022501144519575838,0.02397650718382727,0.024357831039469414,0.03646362679977475,0.03676525639667582,0.03631295648641888,0.020081844377553507,0.018554091390827424,0.02010092248932643,0.02964543592397199,0.029398207971272818,0.029230553850648124,0.055285597867389784,0.05535363322859304,0.05514022749782315,-0.25979151553464674,0.00038481212578598417,0.0003628259378678295,0.00036598590924553936,0.00037092042819105987,0.0003714674521688295,0.0003309312009930428,0.0003310650027358359,0.0003360103491467275,0.0003353447394506357,0.000360461515033682,0.0003653131001756637,0.02187147248783886,98.00473768503112,299.6357116699219,0.004181836575348981,0.0003360103491467275,2.9621105443703237e-09,3.156331211712264e-09,3.206529698844101e-09,5.016737391478778e-09,5.058236183835867e-09,4.996007873843332e-09,2.1992724204530096e-09,2.031959849665091e-09,2.2013617686357597e-09,3.3470573101851834e-09,3.319144543832682e-09,3.300215898240873e-09,7.183396156116469e-09,7.192236160945931e-09,7.164507820017383e-09,9.17229786046575e-06,9.279020309448242,0.0003353447394506357
18,7804.0,0.043420131789770076,-0.009472186117211992,-8.97223098391036e-05,-0.03863692915406005,0.018944372234423985,0.04500919369105488,0.04687486647559218,0.01711437251832772,0.0008022339266101562,0.02125556264236646,-0.04888921751903266,0.043420131789770076,0.04687486647559218,0.0241789201908441,-1.604423373156607e-06,6.10391408480648e-05,-0.03837573520346725,0.0570420782255164,0.018835598982657378,0.020069305493929476,0.018920182872807122,0.02937379518762614,0.028337135952228473,0.028856200822871166,0.01555928851294369,0.01618400584763665,0.01595773130083171,0.02460056889149362,0.023190549376475536,0.023947964947011933,0.047113156614150276,0.046749847287391864,0.04587413443644744,-0.29249664429709954,0.0004300072855924923,0.00040974933608992753,0.00041302158731613053,0.0004168239055900514,0.0004170866246341983,0.0003755579330476767,0.0003759482161666073,0.0003798821569492247,0.00037892553222476,0.00041038088567487346,0.00041430526222803764,0.022031156793763863,98.41510680753889,299.7998046875,0.004010345776026876,0.0003798821569492247,3.162393820461085e-09,3.3695263810503023e-09,3.1765949919643854e-09,5.103466866256538e-09,4.923355442940033e-09,5.013538899038979e-09,2.1945405715172945e-09,2.282653054011166e-09,2.2507384408942465e-09,3.550119244931774e-09,3.3466386897432333e-09,3.4559416739641396e-09,7.934443137418874e-09,7.873257315843235e-09,7.725776350442614e-09,8.306834987473683e-06,8.141427993774414,0.00037892553222476
19,6237.0,0.041093919359104336,-0.00758697479750299,-5.7562186577945526e-05,-0.03128520123934895,0.01517394959500598,0.040739953125592455,0.03981571142347565,0.01643854323920328,0.0006545122938344444,0.016316026412626417,-0.03799925448929041,0.041093919359104336,0.03981571142347565,0.022961436012292682,-1.6341027857633382e-06,5.4832601367150785e-05,-0.03725137628282155,0.048947173404260254,0.0153956502115151,0.01502130040828507,0.01544415455715796,0.024276414455564246,0.023974202116021675,0.024453177767833525,0.012069080112284487,0.013153051070279524,0.01289983666160632,0.02067413971593837,0.01991426904201475,0.020371346702707606,0.03984755453372943,0.04235298588144232,0.04136524621258693,-0.3267789168548156,0.0004743945302420282,0.0004569150496012603,0.0004599163647013097,0.00046287038398003125,0.0004627181687162586,0.00042088000455035564,0.000421274784666875,0.0004242715187302438,0.0004232637137892655,0.000461131642898532,0.00046465698372352606,0.02211648880174166,98.74107458820583,299.8886413574219,0.004251699263811645,0.0004242715187302438,3.214170872033875e-09,3.136017353542423e-09,3.224297190363434e-09,5.2011973353597045e-09,5.136448646132191e-09,5.239068696900643e-09,2.13791658834991e-09,2.3299311802514364e-09,2.2850767854114646e-09,3.7214758426277083e-09,3.584694317718698e-09,3.6669711861081424e-09,8.473279314682094e-09,9.006040229657741e-09,8.796004903717753e-09,8.040733865893358e-06,7.740649700164795,0.0004232637137892655
